행정동,판매소명,전화번호,주소,데이터기준일자,latitude,longitude
오금동,GS25 군포한양점,031-391-0191,"경기도 군포시 산본로432번길 22, 분산상가동 107호(산본동, 한양목련아파트분산상가)",2024-05-23,37.36682751,126.9283618
군포2동,GS25 군포흥안,031-399-8702,경기도 군포시 군포로456번길 14,2024-05-23,37.35362209,126.9455453
산본1동,GS25 금정삼성점,031-457-6777,경기도 군포시 군포로719번길 49(산본동),2024-05-23,37.35362209,126.9455453
산본1동,GS25 금정센타점,031-397-1007,"경기도 군포시 군포로 759-1, 1층(산본동)",2024-05-23,37.35362209,126.9455453
수리동,GS25 금정타운,031-427-1643,경기도 군포시 당산로125번길 18 (금정동),2024-05-23,37.35249722,126.9445298
금정동,GS25 산본가야점,,"경기도 군포시 번영로 405, 104호 105호 109호(산본동, 가야아파트종합상가)",2024-05-23,37.35184938,126.9250801
산본2동,GS25 산본래미안,,"경기도 군포시 금산로 91-2, 1층 4102호(산본동, 래미안 하이어스 아파트상가(148동))",2024-05-23,37.36807846,126.9379662
산본1동,GS25 산본삼성점,031-393-2031,경기도 군포시 금산로72번길 6(산본동),2024-05-23,37.36537845,126.9392447
오금동,GS25 산본주몽점,031-399-0250,"경기도 군포시 광정로 120(산본동, 주몽아파트 상가)",2024-05-23,37.36313539,126.927096
궁내동,GS25 산본충무점,031-397-5284,"경기도 군포시 번영로 502(금정동, 산본역사상가)",2024-05-23,37.35761832,126.933452
도마교동,GS25 송정3단지점,031-417-9615,"경기도 군포시 송부로49번길 10, 101, 102호(도마교동, 군포송정A-1 블럭아파트단지내임대상가(도마교동)",2024-05-23,37.31446481,126.9155152
송부동,GS25 오전공단점,031-451-0843,"경기도 의왕시 고래들길 49, 101호(오전동)",2024-05-23,37.36050142,126.9620939
재궁동,GS25군포궁내점,031-451-0843,경기도 군포시 수리산로203번안길 10(산본동),2024-05-23,37.3560407,126.9210323
군포1동,GS25군포당정점,031-399-0772,경기도 군포시 봉성로 108(당정동),2024-05-23,37.35047939,126.9456494
대야동,GS25대야미역점,031-437-4700,"경기도 군포시 대야1로24번길 2(대야미동, 명성빌딩)",2024-05-23,37.32774056,126.9173359
오금동,GS25산본우정점,031-397-0231,"경기도 군포시 산본로323번길 20-25, 1층 102호(산본동)",2024-05-23,37.35404339,126.9554388
오금동,GS25산본중앙점,031-392-4979,"경기도 군포시 산본로323번길 16-14, 1층4호(산본동, 센타빌딩)",2024-05-23,37.36336003,126.9316288
산본2동,GS25산본타운점,031-392-1603,경기도 군포시 고산로 695(산본동),2024-05-23,37.34634518,126.9430899
광정동,GS더프레시 군포오금점,031-399-1118,"경기도 군포시 광정로 25-57, 지하층(금정동, 율곡아파트 중심상가)",2024-05-23,37.35402851,126.9310579
산본2동,LG슈퍼,031-391-0186,"경기도 군포시 산본로386번길 59, 107호(산본동, 백합아파트 상가)",2024-05-23,37.35765417,126.9360628
수리동,gs25 군포금정점,031-459-4403,경기도 군포시 금재로12번길 13-1(금정동),2024-05-23,37.36241758,126.9416609
수리동,gs25 군포평화점,031-429-5926,"경기도 군포시 당산로116번길 2, 1층(금정동)",2024-05-23,37.35249722,126.9445298
산본1동,개성슈퍼,,경기도 군포시 산본천로225번길 62(산본동),2024-05-23,37.36436972,126.932892
산본1동,경기남부두레소비자생활협동조합 산본점,031-413-5094,"경기도 군포시 금산로 100, 103호(산본동)",2024-05-23,37.36537845,126.9392447
산본1동,골드마트,031-398-7881,경기도 군포시 산본천로202번길 10(산본동),2024-05-23,37.36436972,126.932892
산본2동,골안슈퍼,031-392-9841,경기도 군포시 곡란로 92(산본동),2024-05-23,37.37261935,126.9286753
군포1동,국민마트,031-459-1457,"경기도 군포시 당동로 12번길 3, 1층",2024-05-23,37.35097123,126.9434404
군포1동,군포 DC 마트,031-454-8682,경기도 군포시 군포역1길 6(당동),2024-05-23,37.35406854,126.9484849
오금동,군포농협협동조합,031-396-9922,"경기도 군포시 산본로 400(산본동, 군포농협)",2024-05-23,37.35402224,126.9368048
궁내동,군포시청(매점),031-390-0307,경기도 군포시 청백리길 6 (금정동),2024-05-23,37.36216095,126.9328724
군포1동,군포역전시장마트,031-427-1002,경기도 군포시 군포로 538(당동),2024-05-23,37.35362209,126.9455453
수리동,금정아울렛마트,031-458-3237,경기도 군포시 당산로171번길 4(금정동),2024-05-23,37.35249722,126.9445298
수리동,금정하이퍼마켓,031-452-7388,경기도 군포시 당산로 119(금정동),2024-05-23,37.35249722,126.9445298
부곡동,나마스떼,031-460-2840,"경기도 군포시 번영로 82, 이마트24 편의점(부곡동, 한국복합물류(주))",2024-05-23,37.33094595,126.9372266
군포2동,농민마트,031-451-8400,"경기도 군포시 한세로66번길 28(당정동, 덕산아파트)",2024-05-23,37.34651269,126.9566955
수리동,농민마트,031-393-8111,"경기도 군포시 군포로 733(금정동, S.H빌딩)",2024-05-23,37.35362209,126.9455453
군포1동,누나토스트,031-348-6314,"경기도 군포시 당정로 4, 1층 일부호(당정동)",2024-05-23,37.35051527,126.9569732
산본1동,다농마트,031-393-0636,"경기도 군포시 산본천로179번길 15, 1층(산본동)",2024-05-23,37.36436972,126.932892
군포1동,다래하이퍼마켓,031-455-1535,경기도 군포시 당산로29번길 2(당동),2024-05-23,37.35249722,126.9445298
군포1동,다정중국식품점,031-451-7879,"경기도 군포시 산본로197번길 28, 1층(당동)(당동)",2024-05-23,37.35404339,126.9554388
군포1동,당동DC마트,031-395-8374,경기도 군포시 금당로 137(당동),2024-05-23,37.35519323,126.9434486
군포1동,당말할인마트,031-395-4456,경기도 군포시 산본로249번길 29(당동),2024-05-23,37.35404339,126.9554388
산본1동,대기유통 할인마트,031-396-7066,"경기도 군포시 산본천로199번길 39, 제상가동 101~104호(산본동, 산본종합상가)",2024-05-23,37.36019522,126.9278637
재궁동,대남능금,070-4238-0205,"경기도 군포시 광정로 119-1(산본동, 대림솔거아파트 상가1동)",2024-05-23,37.36320776,126.926206
대야동,대림뉴마트,031-502-5333,"경기도 군포시 군포로 109(대야미동, 군포대야미 이-편한세상)",2024-05-23,37.3256945,126.9178114
군포2동,대림마트,031-392-8980,"경기도 군포시 금당로17번길 10(당동, 정마프라자)",2024-05-23,37.35021235,126.9398014
군포1동,대성철물건재,031-456-5262,경기도 군포시 당산로36번길 2(당동),2024-05-23,37.35249722,126.9445298
산본1동,대영상사,,"경기도 군포시 군포로745번길 44, 101호(산본동)",2024-05-23,37.35362209,126.9455453
군포1동,대영슈퍼,031-455-2302,"경기도 군포시 당동로32번길 54(당동, 유한빌라)",2024-05-23,37.35101649,126.9411627
수리동,대영염가매장,031-456-7208,경기도 군포시 당산로97번길 22(금정동),2024-05-23,37.35249722,126.9445298
도마교동,더킹마트,031-415-6989,"경기도 군포시 송부로34번길 9-5, 1층(도마교동)",2024-05-23,37.31431,126.9154787
산본1동,덕수마트,,"경기도 군포시 송부로 222-1, 의왕역센트럴파크 상가동 101호(부곡동)",2024-05-23,37.32198361,126.9350799
군포2동,동성마트,031-391-6500,"경기도 군포시 고산로539번길 22(산본동, 동성백두아파트 상가)",2024-05-23,37.3640125,126.9255356
산본1동,동우마트,031-392-7762,"경기도 군포시 산본천로217번길 63, 1층(산본동)",2024-05-23,37.36436972,126.932892
오금동,동원그린마트,031-429-8413,"경기도 군포시 산본로 394, 1층 111호(산본동, 대림프라자)",2024-05-23,37.36515212,126.9296933
군포1동,두리슈퍼마켓,031-452-4429,경기도 군포시 엘에스로45번길 62(당정동),2024-05-23,37.36567977,126.956611
수리동,두리슈퍼마켓,031-454-5428,경기도 군포시 엘에스로91번길 83(금정동),2024-05-23,37.36567977,126.956611
수리동,두현홈마트,031-459-0023,"경기도 군포시 당산로 104, 202호(금정동, 두현타워)",2024-05-23,37.35249722,126.9445298
수리동,드림디포 군포점,031-436-1083,"경기도 군포시 고산로 166, 101동 211호(당정동, 에스케이벤티움)(당정동, SK벤티움)",2024-05-23,37.34876012,126.9538559
군포1동,또 터졌다 복권마트,031-2439-6464,"경기도 군포시 군포로565번길 28, 101호(당동)",2024-05-23,37.35362209,126.9455453
오금동,럭키슈퍼렛,031-393-0189,"경기도 군포시 산본천로 18(산본동, 을지아파트 상가)",2024-05-23,37.35859361,126.9263762
송부동,롯데쇼핑(주) 롯데마트 의왕점,031-470-2500,"경기도 의왕시 계원대학로 7(내손동, 롯데마트)",2024-05-23,37.38057882,126.9727777
산본2동,롯데쇼핑(주) 롯데슈퍼산본2동점,031-393-5601,경기도 군포시 고산로677번길 40(산본동),2024-05-23,37.34634518,126.9430899
오금동,롯데슈퍼 산본피트인점,031-8033-1350,"경기도 군포시 번영로 485, 1층(산본동, 롯데 피트인 산본)",2024-05-23,37.357857,126.9306346
대야동,롯데슈퍼 송정점,031-416-1999,"경기도 군포시 송부로74번길 3-40, B1, 101, 102호(도마교동, 금강프라자)",2024-05-23,37.31562346,126.9184718
군포2동,마마트 용호점,,경기도 군포시 용호1로 12,2024-05-23,37.34363216,126.9383956
오금동,목련할인마트,031-393-8095,"경기도 군포시 산본로432번길 4, 지하 5호(산본동, 목련아파트 상가)",2024-05-23,37.36682751,126.9283618
수리동,미니스톱 군포하니점,,"경기도 군포시 번영로610번길 8, 1호(금정동)",2024-05-23,37.32315699,126.9400319
수리동,미래할인마트,,"경기도 군포시 군포로683번안길17-4, 1층101호 미래할인마트(금정동, 퍼스트빌)",2024-05-23,37.35579899,126.9465018
대야동,미래할인마트(대야미점),,"경기도 군포시 대야2로143번길 25, 지1층 102호(대야미동)",2024-05-23,37.32865563,126.9200063
재궁동,민영상사,031-2380-7185,"경기도 군포시 고산로 529(산본동, 금강2단지주상복합아파트)",2024-05-23,37.36024515,126.9225566
금정동,민지네슈퍼,031-392-4881,"경기도 군포시 번영로 333(산본동, 가야종합상가)",2024-05-23,37.35184938,126.9250801
군포1동,바이더웨이,031-456-0105,"경기도 군포시 고산로 166, 101동 215호(당정동, SK벤티움)",2024-05-23,37.34876012,126.9538559
군포1동,반월상회,031-455-8928,"경기도 군포시 산본로198번길 7(당동, 성일빌라)",2024-05-23,37.35481527,126.9476253
오금동,보물창고,031-398-6955,"경기도 군포시 광정로 80, 지하1층(산본동, 신원타워빌딩)",2024-05-23,37.36207705,126.9279458
군포2동,부곡진로마트,031-462-4449,"경기도 군포시 송부로273번안길 3-35, 1층(부곡동)",2024-05-23,37.31431,126.9154787
궁내동,산본농민마트,031-399-3040,"경기도 군포시 산본로 296-1, 102호(금정동, 주공1단지내 상가)",2024-05-23,37.35765417,126.9360628
산본2동,산본래미안할인마트,031-7151-3473,"경기도 군포시 금산로 65(산본동, 삼성래미안 1단지 분산상가1,2호)",2024-05-23,37.36807846,126.9379662
오금동,산본할인마트,031-395-4005,경기도 군포시 광정로 59(산본동),2024-05-23,37.36207705,126.9279458
산본1동,산본홈마트,031-392-1999,"경기도 군포시 산본천로199번길 22-4(산본동, 현지에코빌)",2024-05-23,37.37131891,126.9391192
군포2동,삼성마트,031-399-5556,경기도 군포시 당동로31번길 3(당동),2024-05-23,37.35097123,126.9434404
산본1동,삼성마트,031-392-8983,"경기도 군포시 산본천로214번길 30, 지하1층 삼성마트(산본동, 삼성아파트 상가)",2024-05-23,37.36068993,126.9248989
산본1동,삼성슈퍼,031-393-1387,"경기도 군포시 산본천로214번길 21, 1층(산본동)",2024-05-23,37.36436972,126.932892
수리동,상미왕할인마트,031-429-9872,"경기도 군포시 금산로 9, 지층 101-1, 101-2, 101-3호(금정동, 거성아파트)",2024-05-23,37.36337246,126.9407272
오금동,상민슈퍼,031-396-8502,"경기도 군포시 산본로369번길 16, 106호(산본동, 주몽아파트 종합상가)",2024-05-23,37.35484835,126.9474398
수리동,서초슈퍼,031-454-5884,경기도 군포시 당산로 130(금정동),2024-05-23,37.35249722,126.9445298
광정동,선경종합보수,031-395-3029,"경기도 군포시 광정로 25-57(금정동, 율곡아파트 중심상가)",2024-05-23,37.35402851,126.9310579
산본1동,선양,031-393-8838,경기도 군포시 금산로 100 (산본동),2024-05-23,37.36537845,126.9392447
재궁동,세븐산본점,,"경기도 군포시 고산로 529, 115(산본동, 금강2단지주상복합아파트)",2024-05-23,37.36024515,126.9225566
수리동,세븐일레븐 군포금정원룸점,02-3284-8506,"경기도 군포시 금정로18번길 2, 1층 101호(금정동)",2024-05-23,37.36763814,126.9436837
군포1동,세븐일레븐 군포거성점,,"경기도 군포시 한세로78번길 16, 104동 지하층B02호(당정동, 거성에이플APT)",2024-05-23,37.34782246,126.9572535
군포1동,세븐일레븐 군포공단중앙점,,"경기도 군포시 공단로140번길52, 109-2호",2024-05-23,37.34653213,126.9487045
수리동,세븐일레븐 군포금정동점,031-427-7368,경기도 군포시 엘에스로91번길 69 (금정동),2024-05-23,37.36567977,126.956611
수리동,세븐일레븐 군포금정로점,,"경기도 군포시 금정로 9, 금정동(금정동)",2024-05-23,37.36763814,126.9436837
산본1동,세븐일레븐 군포금정점,,"경기도 군포시 엘에스로 153-18, 102호(산본동, L&C타워)",2024-05-23,37.37397628,126.9444891
군포2동,세븐일레븐 군포당동대로점,031-391-1572,"경기도 군포시 군포로 485, 1층(당동)",2024-05-23,37.35362209,126.9455453
군포1동,세븐일레븐 군포당동로점,,"경기도 군포시 당동로32번길 25, 1층(당동)",2024-05-23,37.35097123,126.9434404
군포2동,세븐일레븐 군포당동본점,031-393-5912,"경기도 군포시 군포로456번길 29, 101호(당동, 썬빌리지)",2024-05-23,37.34643576,126.9468751
군포1동,세븐일레븐 군포당동점,,"경기도 군포시 군포로565번길 3, 101호(당동, 더그레이트힐)(당동)",2024-05-23,37.35579899,126.9465018
군포2동,세븐일레븐 군포당동타운점,,경기도 군포시 군포역1길 186,2024-05-23,37.35406854,126.9484849
군포1동,세븐일레븐 군포당정역점,,"경기도 군포시 당정역로 78-4, 101호(당정동)",2024-05-23,37.34518138,126.948924
대야동,세븐일레븐 군포대야미점,,"경기도 군포시 대야2로 35, 1층 114호(대야미동, 천봉프라자)",2024-05-23,37.33024474,126.9168443
군포1동,세븐일레븐 군포로점,,"경기도 군포시 당동로21번길 50, 1층 5호(당동, 한미상가)",2024-05-23,37.34901224,126.9413376
수리동,세븐일레븐 군포번영로점,,경기도 군포시 번영로609번길 24(금정동),2024-05-23,37.32315699,126.9400319
궁내동,세븐일레븐 군포번영점,031-392-0525,"경기도 군포시 번영로550번길 7(금정동, 화성 무궁화아파트 분산상가)",2024-05-23,37.3470681,126.9258203
산본1동,세븐일레븐 군포비타점,,"경기도 군포시 송부로 24, 102호(도마교동)",2024-05-23,37.31446481,126.9155152
산본1동,세븐일레븐 군포산본점,031-464-2077,"경기도 군포시 군포로775번길 16, 1층(산본동)",2024-05-23,37.35362209,126.9455453
군포2동,세븐일레븐 군포삼성로점,,"경기도 군포시 삼성로 41, 101호, 102호(부곡동, 삼성마을6단지)",2024-05-23,37.33770761,126.9316363
군포2동,세븐일레븐 군포삼성점,,"경기도 군포시 번영로200번길 71, 제상가동 102호(부곡동, 삼성마을)",2024-05-23,37.33400346,126.9284753
군포1동,세븐일레븐 군포성원점,,"경기도 군포시 고산로185번길 41, 1층 103호(당정동, 청천마을성원아파트 상가)",2024-05-23,37.3640125,126.9255356
군포2동,세븐일레븐 군포센트럴파크점,,"경기도 군포시 삼성로 31, 101호(부곡동, 삼성마을 센트럴파크)",2024-05-23,37.33802383,126.9304721
도마교동,세븐일레븐 군포송부로점,,"경기도 군포시 송부로74번길 25-16, 1층(도마교동)",2024-05-23,37.31431,126.9154787
도마교동,세븐일레븐 군포송정점,031-9032-9127,"경기도 군포시 송부로96번길 29, 1층 105호(도마교동)(도마교동, 엘에이치송정마을)",2024-05-23,37.31607395,126.9190667
송부동,세븐일레븐 군포송정지구점,031-427-0555,"경기도 군포시 송부로34번길 2, 108호(도마교동, 엔젤리움플라자)",2024-05-23,37.31562346,126.9184718
궁내동,세븐일레븐 군포시청점,,"경기도 군포시 번영로557번길 28, 102호(금정동)",2024-05-23,37.32315699,126.9400319
군포2동,세븐일레븐 군포용호마을점,031-7510-0631,경기도 군포시 용호1로 53,2024-05-23,37.34363216,126.9383956
군포2동,세븐일레븐 군포용호점,,"경기도 군포시 용호1로5번길 11, 101호, 102호(당동, 성원빌딩)",2024-05-23,37.34232011,126.9377191
궁내동,세븐일레븐 군포충무점,,"경기도 군포시 오금로 71, 102호(금정동)",2024-05-23,37.35709267,126.937815
나동,세븐일레븐 군포태화점,,"경기도 군포시 송부로273번안길 3-11(부곡동, 태화빌딩)",2024-05-23,37.32298334,126.9421061
수리동,세븐일레븐 군포테크노점,031-7102-4723,"경기도 군포시 당산로 202-1, 1호(산본동)",2024-05-23,37.35249722,126.9445298
군포1동,세븐일레븐 군포한세대점,031-429-5520,"경기도 군포시 고산로185번길 4, 1층(당정동, 황토빌딩)",2024-05-23,37.34634518,126.9430899
수리동,세븐일레븐 군포흥진점,031-394-1774,"경기도 군포시 오금로 15-30, 104호(금정동, 세원교육센터)",2024-05-23,37.35306369,126.9298012
산본1동,세븐일레븐 금정삼성쉐르빌점,,"경기도 군포시 공단로 356-54, 148호(산본동, 금정삼성쉐르빌)",2024-05-23,37.37442331,126.9432171
수리동,세븐일레븐 금정역점,,"경기도 군포시 군포로735번길 3, 1층(금정동)",2024-05-23,37.35362209,126.9455453
산본1동,세븐일레븐 금정영빈점,031-395-3789,"경기도 군포시 산본천로214번길 6(산본동, 광정빌딩)",2024-05-23,37.36436972,126.932892
수리동,세븐일레븐 금정제일공원점,031-5164-7084,"경기도 군포시 번영로610번길 48, 101, 102호(금정동, 금호아파트)",2024-05-23,37.34388964,126.9230426
산본1동,세븐일레븐 금정타운점,031-4072-3324,경기도 군포시 산본천로199번길 12(산본동),2024-05-23,37.36436972,126.932892
산본1동,세븐일레븐 금정희망점,031-391-5132,"경기도 군포시 산본천로221번길 17, 101호(산본동)",2024-05-23,37.36436972,126.932892
대야동,세븐일레븐 대야미은서점,031-4197-2508,"경기도 군포시 대야2로7번길 19, 1층 105~110호(대야미동)",2024-05-23,37.32865563,126.9200063
금정동,세븐일레븐 산본가야점,031-392-4817,"경기도 군포시 번영로 317(산본동, 가야아파트 상가)",2024-05-23,37.34388964,126.9230426
산본2동,세븐일레븐 산본개나리점,031-392-0711,"경기도 군포시 고산로677번길 36, 1층 109,111호(산본동, 개나리아파트상가)",2024-05-23,37.3640125,126.9255356
산본2동,세븐일레븐 산본곡란점,,"경기도 군포시 곡란로98번길 1-9, 102호(산본동)",2024-05-23,37.37261935,126.9286753
산본2동,세븐일레븐 산본래미안점,,"경기도 군포시 금산로 65, 105호(산본동, 래미안 하이어스 아파트상가(147동))",2024-05-23,37.36807846,126.9379662
오금동,세븐일레븐 산본로점,02-2631-7406,"경기도 군포시 산본로323번길 23, 102호(산본동, 동선빌딩)",2024-05-23,37.35844608,126.9315432
산본1동,세븐일레븐 산본매화주공점,,"경기도 군포시 곡란로8번길 35-21, 상가동 101호(산본동, 매화아파트상가)",2024-05-23,37.37383465,126.9352057
산본2동,세븐일레븐 산본세종점,031-391-6851,"경기도 군포시 산본천로 34-46, 101호(산본동, 주공 6단지 세종아파트 일반상가)",2024-05-23,37.35773194,126.9289545
산본1동,세븐일레븐 산본시장점,,"경기도 군포시 금산로 106, 1층(산본동)",2024-05-23,37.36537845,126.9392447
광정동,세븐일레븐 산본한라2차점,031-395-1114,"경기도 군포시 번영로 330(산본동, 한라2차아파트 종합상가)",2024-05-23,37.34503016,126.9252676
오금동,세븐일레븐 산본희망점,031-393-2582,"경기도 군포시 산본로323번길 7, 1층 101호(산본동, 금성프라자)",2024-05-23,37.36515212,126.9296933
송부동,세븐일레븐 의왕오전공단점,,"경기도 의왕시 경수대로391번길 25, 오전동(오전동, 대승정밀)",2024-05-23,37.33731741,126.9804629
군포1동,세븐일레븐1682호점,031-427-9901,경기도 군포시 군포역1길 10(당동),2024-05-23,37.35406854,126.9484849
오금동,세븐일레븐디오플러스,,"경기도 군포시 번영로 505, 101(산본동, 대우디오플러스)",2024-05-23,37.35880999,126.9332727
대야동,송정식자재마트,031-407-0608,"경기도 군포시 송부로96번길12, 리치안 A동 1204호,125호,125호",2024-05-23,37.32393152,126.9326005
도마교동,송정할인마트,031-407-8060,"경기도 군포시 송부로33번길 3-3, 101호(도마교동)",2024-05-23,37.31431,126.9154787
군포1동,슬기마트,031-8884-4864,"경기도 군포시 당정로28번길 18-1, 1층 104호(당정동)",2024-05-23,37.35051527,126.9569732
오금동,신원전기철물,031-399-1212,"경기도 군포시 광정로 80, 108호(산본동, 신원타워빌딩)",2024-05-23,37.36207705,126.9279458
군포1동,신풍상사,031-453-5972,"경기도 군포시 봉성로 82-3, 103호(당정동, 도현빌딩)",2024-05-23,37.35177534,126.9539659
궁내동,신환DC마트,031-456-6200,"경기도 군포시 금재로 8(금정동, 신환아파트 상가1)",2024-05-23,37.36203021,126.9415536
광정동,싱싱마트,,"경기도 군포시 번영로 330, 104호(산본동, 한라2차아파트 종합상가)",2024-05-23,37.34503016,126.9252676
